City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2,UPX.Per.UP2
Staten Island,Owned,TRUE,MARINER'S HARBOR,82,"[{""name"":""Staten Islander"",""yield_boost"":1.2},{""name"":""City Pro"",""yield_boost"":1.4}]",384 UNION AVE,4674,9500,i5aik4ltprzh,alchemy,2022-09-22T20:28:24.000Z,,,,,56.54,79.15,81322373381465,,,
Chicago,Owned,FALSE,BRIGHTON PARK,36,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",4507 S TROY ST,4752,4752,i5aik4ltprzh,alchemy,2021-06-12T21:18:13.000Z,,,,,57.48,73.57,82059798705878,,,
Chicago,Owned,FALSE,BRIGHTON PARK,36,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",4511 S TROY ST,4752,4752,i5aik4ltprzh,alchemy,2021-06-12T21:18:26.000Z,,,,,57.48,73.57,82059748374230,,,
Cleveland,Owned,FALSE,HOUGH,52,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",1424 E 59 ST,4784,4784,i5aik4ltprzh,alchemy,2021-07-18T23:57:18.500Z,,,,,57.87,72.33,81875266285484,,,
Chicago,Owned,FALSE,CHICAGO LAWN,38,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",7154 S MOZART ST,4788,4788,i5aik4ltprzh,alchemy,2021-07-05T15:32:01.500Z,,,,,57.92,74.13,82029566162865,,,
San Francisco,Owned,TRUE,SUNNYSIDE,30,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",550 MONTEREY BLVD,4800,4800,i5aik4ltprzh,alchemy,2020-10-11T19:59:48.500Z,,,,,58.06,69.67,79519911889092,,,
Chicago,Owned,FALSE,WEST RIDGE,38,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",2445 W FARGO AVE,4864,4864,i5aik4ltprzh,alchemy,2021-06-13T22:03:57.000Z,,,,,58.83,75.31,82187355869166,,,
Chicago,Owned,FALSE,GARFIELD PARK,36,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",2844 W VAN BUREN ST,4896,4896,i5aik4ltprzh,alchemy,2021-07-09T20:34:06.000Z,,,,,59.22,75.8,82100013690198,,,
Cleveland,Owned,FALSE,FAIRFAX,64,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",2226 E 81ST ST,4928,4928,i5aik4ltprzh,alchemy,2021-07-08T17:15:33.500Z,,,,,59.61,74.51,81864763751493,,,
Fresno,Owned,FALSE,NORTH GROWTH AREA,175,"[{""name"":""The Fresno"",""yield_boost"":1.2},{""name"":""North Growth Area"",""yield_boost"":1.6}]",11483 N SLOAN AVE,4987.5,11500,i5aik4ltprzh,alchemy,2021-08-01T19:49:37.000Z,,,,,60.33,96.53,79004012594785,,,
